"site_id","site_name","lat","lon","state","us_l3code","us_l3name","ag_eco9","huc8","source"
"NRS18_CT_10008","NRS18_CT_10008",42.010089,-72.632325,"Connecticut","59","Northeastern Coastal Zone","NAP","H01080205","NRSA 2018-19"
"NRS18_WI_10043","NRS18_WI_10043",45.669594,-88.790864,"Wisconsin","50","Northern Lakes and Forests","UMW","H04030105","NRSA 2018-19"
"NRS18_NY_10027","NRS18_NY_10027",43.580799,-75.959083,"New York","58","Northeastern Highlands","NAP","H04140102","NRSA 2018-19"
"NRS18_AR_10006","NRS18_AR_10006",34.695001,-90.645885,"Arkansas","73","Mississippi Alluvial Plain","CPL","H08020203","NRSA 2018-19"
"NRS18_NE_10026","NRS18_NE_10026",41.64471,-96.095473,"Nebraska","47","Western Corn Belt Plains","TPL","H10230001","NRSA 2018-19"
"NRS18_TX_10056","NRS18_TX_10056",31.484585,-100.319412,"Texas","27","Central Great Plains","SPL","H12090105","NRSA 2018-19"
"NRS18_AR_10190","NRS18_AR_10190",34.280395,-94.448356,"Arkansas","36","Ouachita Mountains","SAP","H11140109","NRSA 2018-19"
"NRS18_ND_10001","NRS18_ND_10001",46.417942,-103.512371,"North Dakota","43","Northwestern Great Plains","NPL","H10110203","NRSA 2018-19"
"NRS18_UT_10015","NRS18_UT_10015",37.685959,-112.399679,"Utah","19","Wasatch and Uinta Mountains","WMT","H16030001","NRSA 2018-19"
"NRS18_PA_10002","NRS18_PA_10002",41.419916,-78.747751,"Pennsylvania","62","North Central Appalachians","NAP","H05010005","NRSA 2018-19"
"NRS18_NH_10002","NRS18_NH_10002",44.243085,-72.048186,"New Hampshire","58","Northeastern Highlands","NAP","H01080103","NRSA 2018-19"
"NRS18_IA_10035","NRS18_IA_10035",42.692061,-90.962878,"Iowa","52","Driftless Area","UMW","H07060003","NRSA 2018-19"
"NRS18_NV_10026","NRS18_NV_10026",41.696426,-115.856903,"Nevada","80","Northern Basin and Range","XER","H17050104","NRSA 2018-19"
"NRS18_CO_11276","NRS18_CO_11276",40.73579,-108.78052,"Colorado","18","Wyoming Basin","XER","H14040109","NRSA 2018-19"
"NRS18_CA_10352","NRS18_CA_10352",37.003097,-118.294521,"California","13","Central Basin and Range","XER","H18090103","NRSA 2018-19"
"NRS18_WV_RF003","NRS18_WV_RF003",39.320454,-79.68259,"West Virginia","67","Ridge and Valley","SAP","H05020004","NRSA 2018-19"
"NRS18_OK_10022","NRS18_OK_10022",34.066991,-94.905286,"Oklahoma","35","South Central Plains","CPL","H11140107","NRSA 2018-19"
"NRS18_NY_10032","NRS18_NY_10032",42.978274,-74.822213,"New York","83","Eastern Great Lakes Lowlands","NAP","H02020004","NRSA 2018-19"
"NRS18_CO_RF001","NRS18_CO_RF001",40.07837,-105.58024,"Colorado","21","Southern Rockies","WMT","H10190005","NRSA 2018-19"
"NRS18_VT_10001","NRS18_VT_10001",43.903506,-72.825325,"Vermont","58","Northeastern Highlands","NAP","H01080105","NRSA 2018-19"
"NRS18_PA_10006","NRS18_PA_10006",41.443052,-75.660559,"Pennsylvania","67","Ridge and Valley","SAP","H02050107","NRSA 2018-19"
"NRS18_ID_10019","NRS18_ID_10019",44.807786,-115.930206,"Idaho","16","Idaho Batholith","WMT","H17050123","NRSA 2018-19"
"NRS18_ND_10013","NRS18_ND_10013",45.980512,-102.849786,"North Dakota","43","Northwestern Great Plains","NPL","H10130301","NRSA 2018-19"
"NRS18_LA_10008","NRS18_LA_10008",32.066176,-93.414125,"Louisiana","35","South Central Plains","CPL","H11140202","NRSA 2018-19"
"NRS18_NE_10020","NRS18_NE_10020",41.462412,-97.681915,"Nebraska","27","Central Great Plains","SPL","H10210009","NRSA 2018-19"
"NRS18_AR_10040","NRS18_AR_10040",34.644733,-91.292511,"Arkansas","73","Mississippi Alluvial Plain","CPL","H08020303","NRSA 2018-19"
"NRS18_TX_10025","NRS18_TX_10025",31.473297,-100.469448,"Texas","27","Central Great Plains","SPL","H12090104","NRSA 2018-19"
"NRS18_WA_10037","NRS18_WA_10037",47.680862,-117.157641,"Washington","15","Northern Rockies","WMT","H17010305","NRSA 2018-19"
"NRS18_CA_10028","NRS18_CA_10028",37.89016,-118.715442,"California","13","Central Basin and Range","XER","H18090101","NRSA 2018-19"
"NRS18_PA_10016","NRS18_PA_10016",40.760012,-79.546888,"Pennsylvania","70","Western Allegheny Plateau","SAP","H05010006","NRSA 2018-19"
"NRS18_OH_10037","NRS18_OH_10037",40.266122,-81.874115,"Ohio","70","Western Allegheny Plateau","SAP","H05040004","NRSA 2018-19"
"NRS18_NV_10009","NRS18_NV_10009",41.958286,-115.864525,"Nevada","80","Northern Basin and Range","XER","H17050102","NRSA 2018-19"
"NRS18_RI_10197","NRS18_RI_10197",41.905001,-71.509578,"Rhode Island","59","Northeastern Coastal Zone","NAP","H01090004","NRSA 2018-19"
"NRS18_AL_10009","NRS18_AL_10009",31.119721,-86.152487,"Alabama","65","Southeastern Plains","CPL","H03140202","NRSA 2018-19"
"NRS18_AL_10010","NRS18_AL_10010",32.228691,-87.148277,"Alabama","65","Southeastern Plains","CPL","H03150203","NRSA 2018-19"
"NRS18_AR_10026","NRS18_AR_10026",33.131928,-91.09571,"Arkansas","73","Mississippi Alluvial Plain","CPL","H08030100","NRSA 2018-19"
"NRS18_CO_10028","NRS18_CO_10028",37.968297,-108.253475,"Colorado","20","Colorado Plateaus","WMT","H14030003","NRSA 2018-19"
"NRS18_AR_10004","NRS18_AR_10004",36.114886,-91.966991,"Arkansas","39","Ozark Highlands","SAP","H11010004","NRSA 2018-19"
"NRS18_IL_10044","NRS18_IL_10044",37.986481,-89.947327,"Illinois","72","Interior River Valleys and Hills","TPL","H07140204","NRSA 2018-19"
"NRS18_AR_10008","NRS18_AR_10008",33.556304,-92.022612,"Arkansas","35","South Central Plains","CPL","H08040204","NRSA 2018-19"
