cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_ARRIVAL_TEMP,ARRIVAL_TEMP,Temperature upon arrival at lab,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_BATCH_ID,BATCH_ID,Laboratory batch number,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_CAS_NO,CAS_NO,Chemical Abstracts Service number,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_CONDITION_CODE,CONDITION_CODE,Condition of sample code,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_DATE_COL,DATE_COL,Date collected,,,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_DATE_PROCESSED,DATE_PROCESSED,Date sample processed,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_DILUTION,DILUTION,Dilution of sample,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_INSTRUMENT,INSTRUMENT,Instrument used,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_LAB,LAB,Laboratory processing sample,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_LAB_SAMPLE_ID,LAB_SAMPLE_ID,Laboratory sample ID,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_MATRIX,MATRIX,Material used for analysis,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_MDL,MDL,Minimum Detection Limit,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_METHOD,METHOD,,,,FPLG,|ELECTROFISH|HOOK|SEINE|OTHER,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_NAME_COM,NAME_COM,FPLG_NAME_COM,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_PUBLICATION_DATE,PUBLICATION_DATE,Date the dataset was published to the NARS site,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_RESULT,RESULT,Value of associated parameter,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_RL,RL,Reporting Limit,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_SAM_CODE,SAM_CODE,Sample code (Regular/Lab duplicate/Lab split),,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_SAMPLE_ID,SAMPLE_ID,FPLG_SAMPLE_ID,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_SAMPLE_TYPE,SAMPLE_TYPE,Code identifying sample type,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_SITE_ID,SITE_ID,Identification code for site,,,VERIF,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_STATE,STATE,State,,,VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_UID,UID,Unique identifier for the site/visit,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_UNITS,UNITS,Units of measurement,,,COLUMN,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_VISIT_NO,VISIT_NO,Sequential number of visit to site,,,VERIF,|1|2|R,,,PARAMETER,fish_hg
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_CONDUCTIVITY,CONDUCTIVITY,Conductivity (uS/cm),,,FISH,,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_CORRECTED,CORRECTED,Corrected to 25C,,,FISH,|Y|N,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_DATE_COL,DATE_COL,Date collected,,,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISH_PROTOCOL,FISH_PROTOCOL,Fish Sampling Protocol,,,FISH,|LG_NONWADEABLE|LG_WADEABLE|SM_NONWADEABLE|SM_WADEABLE,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISH_PROTOCOL_FLAG,FISH_PROTOCOL_FLAG,Flag associated with Fish Sampling Protocol,,,FISH,,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISH_RESPONSE,FISH_RESPONSE,How did fish respond to electrofishing?,,,FISH,|IMMOBILE|INHIBITED|ESCAPE,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISH_SAMPLING,FISH_SAMPLING,Fish Sampling - Not Conducted or Suspended,,,FISH,|NO_FISH|NOT_FISHED_REACH_MIN|NO_PERMIT|SITE_CONDITIONS|PERMIT_RESTRICT|EQUIPMENT_FAILURE|NO_FISH_OBSERVED,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISH_SAMPLING_FLAG,FISH_SAMPLING_FLAG,Flag associated with Fish Sampling - Not Conducted or Suspended,,,FISH,,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISH_SAMPLING_SUFFICIENT,FISH_SAMPLING_SUFFICIENT,Did conditions allow for sufficient sampling?,,,FISH,|Y|N|NOT_SURE,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_FISHGEAR_REVIEW,FISHGEAR_REVIEW,FISHGEAR_REVIEW,,,FISH,|Y,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_HIGH_GRADIENT,HIGH_GRADIENT,Fast flowing high gradient site,,,FISH,|Y,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_PRIM_AMPS,PRIM_AMPS,Amps,,,FISH,,,,PARAMETER,fish_sampling
1819,NRSA 1819 Fish Sampling Information,Fish,fish_sampling_PRIM_AMPS_FLAG,PRIM_AMPS_FLAG,Flag associated with Amps,,,FISH,,,,PARAMETER,fish_sampling
