cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,units,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_LON_DD83,LON_DD83,Longitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,,,DESIGN,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_METRIC_TAXA_ROOT,METRIC_TAXA_ROOT,"Taxonomic level used in calculation of metrics: WSA=taxonomic aggregation used in WSA-based NRSA MMI,LOWEST=NRSA target taxonomic level",,,,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_METRIC_TAXA_ROOT,METRIC_TAXA_ROOT,"Taxonomic level used in calculation of metrics: WSA=taxonomic aggregation used in WSA-based NRSA MMI,LOWEST=NRSA target taxonomic level",,,,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_METRIC_TAXA_ROOT,METRIC_TAXA_ROOT,"Taxonomic level used in calculation of metrics: WSA=taxonomic aggregation used in WSA-based NRSA MMI,LOWEST=NRSA target taxonomic level",,,,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_MMI_BENT,MMI_BENT,Benthic MMI score,,,BERW,,Good|Fair|Poor|Not Assessed,0.0,100.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_MMI_BENT,MMI_BENT,Benthic MMI score,,,BETB,,Good|Fair|Poor|Not Assessed,0.0,100.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_OE_SCORE,OE_SCORE,O/E score for benthic sample,,,BERW,,,0.0,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_OE_SCORE,OE_SCORE,O/E score for benthic sample,,,BETB,,,0.0,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_PSTL_CODE,PSTL_CODE,State two-letter postal code,,,DESIGN,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_PSTL_CODE,PSTL_CODE,"State two letter postal code 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing values allowed.",,,DESIGN,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_PUBLICATION_DATE,PUBLICATION_DATE,Date of data file publication,,,,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_PUBLICATION_DATE,PUBLICATION_DATE,Date of data file publication,,,,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_PUBLICATION_DATE,PUBLICATION_DATE,Date of data file publication,,,,,,,,PARAMETER,benthic_mmi
